code;title;state;type;changeable;cir;description
50;Férié;01-En cours;00-Base;FAUX;FAUX;Attention il ne agit pas de pointer vos congés: pour cela utiliser l'OF N° 60
60;Congés;01-En cours;00-Base;FAUX;FAUX;
100;Maladie;01-En cours;00-Base;FAUX;FAUX;
300;Formation interne;01-En cours;00-Base;FAUX;FAUX;Formation nouvel arrivant ou interne (groupes de travail)
400;Formation Externe : Préparation (slides, TP, répétitions);01-En cours;00-Base;FAUX;FAUX;
450;Formation Externe : Exécution (journées effectives de formation);01-En cours;00-Base;FAUX;FAUX;
500;Salons;01-En cours;00-Base;FAUX;FAUX;Salons n'ayant pas de code projet
510;Production de supports;01-En cours;00-Base;FAUX;FAUX;
520;Présence effective;01-En cours;00-Base;FAUX;FAUX;
530;Post traitement - 1er contact avce 1 client après le salon;01-En cours;00-Base;FAUX;FAUX;
600;Avant Vente;01-En cours;00-Base;FAUX;FAUX;Visite chez un clients pour présentation par exemple, préparation des offres
610;Phoning;01-En cours;00-Base;FAUX;FAUX;
620;RDV ext;01-En cours;00-Base;FAUX;FAUX;
630;Offre;01-En cours;00-Base;FAUX;FAUX;
640;Négociation;01-En cours;00-Base;FAUX;FAUX;
650;Réunion commerciales (PIPE);01-En cours;00-Base;FAUX;FAUX;
660;Meeting partenaires;01-En cours;00-Base;FAUX;FAUX;
700;Fonctionnement;01-En cours;00-Base;FAUX;FAUX;Maintenance serveur, installation et mise à jour d'outils, mails
800;Veille techno + WEB;01-En cours;00-Base;FAUX;FAUX;
900;Marketing;01-En cours;00-Base;FAUX;FAUX;
910;Animation Web;01-En cours;00-Base;FAUX;FAUX;Animation forum, twitter, linkedin, lecture flux RSS ...
920;Communication formation;01-En cours;00-Base;FAUX;FAUX;
930;Communication webinar;01-En cours;00-Base;FAUX;FAUX;
940;Préparation formation;01-En cours;00-Base;FAUX;FAUX;
950;Préparation webinar;01-En cours;00-Base;FAUX;FAUX;
1146;R&D Dagda2 - Thèse;03-Terminé;05-Produits;VRAI;VRAI;
1147;R&D libdadi;03-Terminé;05-Produits;VRAI;VRAI;
1148;R&D Décrypthon;03-Terminé;05-Produits;VRAI;VRAI;
1149;Stage administration (Pierre-Jean Prost);03-Terminé;05-Produits;VRAI;VRAI;
1150;Projet EDF R&D Vishnu-LDAP;03-Terminé;05-Produits;VRAI;VRAI;
1151;Projet EDF R&D Vishnu-LSF;03-Terminé;05-Produits;VRAI;VRAI;
1152;R&D Projet Ecoperfs;03-Terminé;03-Services liés au produit;VRAI;VRAI;
1153;Projet EDF R&D Vishnu-DAT;03-Terminé;05-Produits;VRAI;VRAI;
1154;Projet MAR;03-Terminé;03-Services liés au produit;VRAI;VRAI;
1155;Projet FP7 CASUAL;03-Terminé;05-Produits;VRAI;VRAI;
1156;Projet IRT Bio COLONY;01-En cours;05-Produits;VRAI;VRAI;
1157;Projet R&D ANR SOP;03-Terminé;05-Produits;VRAI;VRAI;
1158;Projet EDF R&D et Améliorations VISHNU Salome;03-Terminé;05-Produits;VRAI;VRAI;
1159;Projet EDF R&D et Support;01-En cours;01-Support;VRAI;VRAI;
1160;Projet portage SysFera-DS sur applis IBM (AIX, DB2, Websphère);03-Terminé;05-Produits;VRAI;VRAI;
1161;R&D SysFera-DS Webboard v3;03-Terminé;05-Produits;VRAI;VRAI;
1162;Projet WebBoard pour le CCRT;02-Abandonné;03-Services liés au produit;VRAI;VRAI;
1163;Projet Techlimed é indexation sites tunisiens;01-En cours;03-Services liés au produit;VRAI;VRAI;
1164;Projet R&D libDadiCORBA;03-Terminé;05-Produits;VRAI;VRAI;
1165;Formations Vishnu utilisateur et administrateur;02-Abandonné;04-Formation;VRAI;VRAI;
1166;R&D Gestion des applications;02-Abandonné;05-Produits;VRAI;VRAI;
